Sample number 	 Current (A) 	 Absolute value (A) 	 Time (s)
79.000000	13.560738	13.560738	0.790000
80.000000	5.568734	5.568734	0.800000
81.000000	18.983988	18.983988	0.810000
82.000000	18.115908	18.115908	0.820000
83.000000	21.347826	21.347826	0.830000
84.000000	15.506510	15.506510	0.840000
85.000000	23.855210	23.855210	0.850000
86.000000	4.205735	4.205735	0.860000
87.000000	20.395155	20.395155	0.870000
88.000000	25.044680	25.044680	0.880000
89.000000	16.864132	16.864132	0.890000
90.000000	-11.416799	11.416799	0.900000
91.000000	-1.713786	1.713786	0.910000
92.000000	12.533696	12.533696	0.920000
93.000000	4.597254	4.597254	0.930000
94.000000	1.717571	1.717571	0.940000
95.000000	12.496701	12.496701	0.950000
96.000000	21.189503	21.189503	0.960000
97.000000	11.209687	11.209687	0.970000
98.000000	9.072300	9.072300	0.980000
99.000000	4.092777	4.092777	0.990000
100.000000	12.275446	12.275446	1.000000
101.000000	6.052634	6.052634	1.010000
102.000000	14.876902	14.876902	1.020000
103.000000	14.267082	14.267082	1.030000
104.000000	-11.212604	11.212604	1.040000
105.000000	-6.264076	6.264076	1.050000
106.000000	18.405296	18.405296	1.060000
107.000000	9.718940	9.718940	1.070000
108.000000	3.522945	3.522945	1.080000
109.000000	5.359680	5.359680	1.090000
110.000000	-9.381130	9.381130	1.100000
111.000000	2.155993	2.155993	1.110000
112.000000	6.138713	6.138713	1.120000
113.000000	-5.635477	5.635477	1.130000
114.000000	14.405537	14.405537	1.140000
115.000000	9.438329	9.438329	1.150000
116.000000	10.900413	10.900413	1.160000
117.000000	35.188005	35.188005	1.170000
118.000000	8.600535	8.600535	1.180000
119.000000	11.011563	11.011563	1.190000
120.000000	17.056739	17.056739	1.200000
121.000000	2.646592	2.646592	1.210000
122.000000	18.401250	18.401250	1.220000
123.000000	13.075455	13.075455	1.230000
124.000000	16.388920	16.388920	1.240000
125.000000	13.007972	13.007972	1.250000
126.000000	-15.402802	15.402802	1.260000
127.000000	5.791840	5.791840	1.270000
128.000000	29.147731	29.147731	1.280000
129.000000	18.714750	18.714750	1.290000
130.000000	19.070446	19.070446	1.300000
131.000000	18.573785	18.573785	1.310000
132.000000	-0.321927	0.321927	1.320000
133.000000	35.969440	35.969440	1.330000
134.000000	5.228171	5.228171	1.340000
135.000000	18.819250	18.819250	1.350000
136.000000	19.298743	19.298743	1.360000
137.000000	17.895610	17.895610	1.370000
138.000000	0.198927	0.198927	1.380000
139.000000	9.988181	9.988181	1.390000
140.000000	22.378260	22.378260	1.400000
141.000000	11.524567	11.524567	1.410000
142.000000	8.170520	8.170520	1.420000
143.000000	-6.975829	6.975829	1.430000
144.000000	10.686752	10.686752	1.440000
145.000000	-10.049940	10.049940	1.450000
146.000000	22.618403	22.618403	1.460000
147.000000	24.335835	24.335835	1.470000
148.000000	13.511670	13.511670	1.480000
149.000000	17.555389	17.555389	1.490000
150.000000	-0.637084	0.637084	1.500000
151.000000	15.468737	15.468737	1.510000
152.000000	-6.813860	6.813860	1.520000
153.000000	12.535802	12.535802	1.530000
154.000000	29.457745	29.457745	1.540000
155.000000	10.099144	10.099144	1.550000
156.000000	23.482719	23.482719	1.560000
157.000000	1.319547	1.319547	1.570000
158.000000	28.074314	28.074314	1.580000
159.000000	5.029933	5.029933	1.590000
160.000000	7.543383	7.543383	1.600000
161.000000	8.975689	8.975689	1.610000
162.000000	7.866419	7.866419	1.620000
163.000000	5.623390	5.623390	1.630000
164.000000	-0.927771	0.927771	1.640000
165.000000	30.792188	30.792188	1.650000
166.000000	-2.447488	2.447488	1.660000
167.000000	7.300523	7.300523	1.670000
168.000000	3.107674	3.107674	1.680000
169.000000	16.710810	16.710810	1.690000
170.000000	17.408888	17.408888	1.700000
171.000000	0.691092	0.691092	1.710000
172.000000	3.545436	3.545436	1.720000
173.000000	9.328103	9.328103	1.730000
174.000000	15.871148	15.871148	1.740000
175.000000	11.920305	11.920305	1.750000
176.000000	21.014598	21.014598	1.760000
177.000000	4.633124	4.633124	1.770000
178.000000	5.941684	5.941684	1.780000
179.000000	3.644362	3.644362	1.790000
180.000000	8.349979	8.349979	1.800000
181.000000	14.398813	14.398813	1.810000
182.000000	-5.036807	5.036807	1.820000
183.000000	11.634483	11.634483	1.830000
184.000000	17.174005	17.174005	1.840000
185.000000	22.480013	22.480013	1.850000
186.000000	25.613739	25.613739	1.860000
187.000000	6.111168	6.111168	1.870000
188.000000	4.544190	4.544190	1.880000
189.000000	5.124922	5.124922	1.890000
190.000000	8.433791	8.433791	1.900000
191.000000	21.826973	21.826973	1.910000
192.000000	-9.582649	9.582649	1.920000
193.000000	5.454996	5.454996	1.930000
194.000000	0.872709	0.872709	1.940000
195.000000	-0.371296	0.371296	1.950000
196.000000	5.836444	5.836444	1.960000
197.000000	-3.013519	3.013519	1.970000
198.000000	1.479091	1.479091	1.980000
199.000000	2.395171	2.395171	1.990000
200.000000	4.739474	4.739474	2.000000
201.000000	9.283214	9.283214	2.010000
202.000000	25.583028	25.583028	2.020000
203.000000	9.760568	9.760568	2.030000
204.000000	-11.417342	11.417342	2.040000
205.000000	22.582584	22.582584	2.050000
206.000000	8.428337	8.428337	2.060000
207.000000	10.149201	10.149201	2.070000
208.000000	18.233323	18.233323	2.080000
209.000000	-4.493820	4.493820	2.090000
210.000000	-0.263866	0.263866	2.100000
211.000000	14.581823	14.581823	2.110000
212.000000	7.138365	7.138365	2.120000
213.000000	-13.086234	13.086234	2.130000
214.000000	2.378988	2.378988	2.140000
215.000000	12.948820	12.948820	2.150000
216.000000	10.377934	10.377934	2.160000
217.000000	-5.083948	5.083948	2.170000
218.000000	4.779770	4.779770	2.180000
219.000000	18.165894	18.165894	2.190000
220.000000	24.344812	24.344812	2.200000
221.000000	3.395074	3.395074	2.210000
222.000000	10.345442	10.345442	2.220000
223.000000	10.194028	10.194028	2.230000
224.000000	-3.487798	3.487798	2.240000
225.000000	15.410984	15.410984	2.250000
226.000000	9.532068	9.532068	2.260000
227.000000	3.996972	3.996972	2.270000
228.000000	19.753528	19.753528	2.280000
229.000000	-16.900953	16.900953	2.290000
230.000000	-4.471715	4.471715	2.300000
231.000000	24.811755	24.811755	2.310000
232.000000	11.082491	11.082491	2.320000
233.000000	15.324030	15.324030	2.330000
234.000000	20.745796	20.745796	2.340000
235.000000	-13.505956	13.505956	2.350000
236.000000	1.736664	1.736664	2.360000
237.000000	2.501405	2.501405	2.370000
238.000000	10.402693	10.402693	2.380000
239.000000	17.910184	17.910184	2.390000
240.000000	15.185323	15.185323	2.400000
241.000000	15.778834	15.778834	2.410000
242.000000	19.344830	19.344830	2.420000
243.000000	26.196594	26.196594	2.430000
244.000000	17.874834	17.874834	2.440000
245.000000	14.122200	14.122200	2.450000
246.000000	3.786931	3.786931	2.460000
247.000000	6.606065	6.606065	2.470000
248.000000	15.892578	15.892578	2.480000
249.000000	15.715877	15.715877	2.490000
250.000000	-7.894284	7.894284	2.500000
251.000000	9.651638	9.651638	2.510000
252.000000	14.778402	14.778402	2.520000
253.000000	12.375606	12.375606	2.530000
254.000000	-2.339349	2.339349	2.540000
255.000000	-9.020858	9.020858	2.550000
256.000000	24.493078	24.493078	2.560000
257.000000	-7.188570	7.188570	2.570000
258.000000	25.901927	25.901927	2.580000
259.000000	23.564709	23.564709	2.590000
260.000000	7.897001	7.897001	2.600000
261.000000	6.095123	6.095123	2.610000
262.000000	8.877822	8.877822	2.620000
263.000000	12.422946	12.422946	2.630000
264.000000	3.097178	3.097178	2.640000
265.000000	0.310803	0.310803	2.650000
266.000000	-7.315574	7.315574	2.660000
267.000000	9.767012	9.767012	2.670000
268.000000	-0.557064	0.557064	2.680000
269.000000	10.627469	10.627469	2.690000
270.000000	13.324525	13.324525	2.700000
271.000000	4.228678	4.228678	2.710000
272.000000	15.733040	15.733040	2.720000
273.000000	20.355844	20.355844	2.730000
274.000000	4.646317	4.646317	2.740000
275.000000	5.246217	5.246217	2.750000
276.000000	13.742234	13.742234	2.760000
277.000000	11.098421	11.098421	2.770000
278.000000	17.216467	17.216467	2.780000
279.000000	34.131736	34.131736	2.790000
280.000000	10.010392	10.010392	2.800000
281.000000	9.076399	9.076399	2.810000
282.000000	13.860343	13.860343	2.820000
283.000000	-2.224214	2.224214	2.830000
284.000000	5.111037	5.111037	2.840000
285.000000	20.478070	20.478070	2.850000
286.000000	-1.821508	1.821508	2.860000
287.000000	9.386469	9.386469	2.870000
288.000000	16.864175	16.864175	2.880000
289.000000	2.111977	2.111977	2.890000
290.000000	9.092053	9.092053	2.900000
291.000000	6.458138	6.458138	2.910000
292.000000	23.348655	23.348655	2.920000
293.000000	26.882300	26.882300	2.930000
294.000000	26.564522	26.564522	2.940000
295.000000	23.138836	23.138836	2.950000
296.000000	1.322425	1.322425	2.960000
297.000000	-10.009483	10.009483	2.970000
298.000000	6.048982	6.048982	2.980000
299.000000	6.579755	6.579755	2.990000
300.000000	13.418781	13.418781	3.000000
301.000000	11.941874	11.941874	3.010000
302.000000	12.043523	12.043523	3.020000
303.000000	-13.501118	13.501118	3.030000
304.000000	19.063647	19.063647	3.040000
305.000000	0.706704	0.706704	3.050000
306.000000	44.279222	44.279222	3.060000
307.000000	19.019332	19.019332	3.070000
308.000000	13.345523	13.345523	3.080000
309.000000	20.775366	20.775366	3.090000
310.000000	2.291708	2.291708	3.100000
311.000000	3.339759	3.339759	3.110000
312.000000	9.857472	9.857472	3.120000
313.000000	-2.822215	2.822215	3.130000
314.000000	6.517181	6.517181	3.140000
315.000000	26.127642	26.127642	3.150000
316.000000	26.306479	26.306479	3.160000
317.000000	0.642711	0.642711	3.170000
318.000000	14.602740	14.602740	3.180000
319.000000	8.120739	8.120739	3.190000
320.000000	3.421197	3.421197	3.200000
321.000000	-11.154587	11.154587	3.210000
322.000000	4.828210	4.828210	3.220000
323.000000	-5.276384	5.276384	3.230000
324.000000	1.032053	1.032053	3.240000
325.000000	1.987493	1.987493	3.250000
326.000000	11.424844	11.424844	3.260000
327.000000	2.782151	2.782151	3.270000
328.000000	-3.829117	3.829117	3.280000
329.000000	3.544896	3.544896	3.290000
330.000000	27.863124	27.863124	3.300000
331.000000	11.278772	11.278772	3.310000
332.000000	-8.449293	8.449293	3.320000
333.000000	22.999072	22.999072	3.330000
334.000000	16.100459	16.100459	3.340000
335.000000	7.423331	7.423331	3.350000
336.000000	13.962595	13.962595	3.360000
337.000000	22.550448	22.550448	3.370000
338.000000	24.778706	24.778706	3.380000
339.000000	-9.179903	9.179903	3.390000
340.000000	13.958126	13.958126	3.400000
341.000000	-0.830868	0.830868	3.410000
342.000000	13.258727	13.258727	3.420000
343.000000	-4.488191	4.488191	3.430000
344.000000	15.661729	15.661729	3.440000
345.000000	21.268982	21.268982	3.450000
346.000000	20.544518	20.544518	3.460000
347.000000	10.726834	10.726834	3.470000
348.000000	5.864585	5.864585	3.480000
349.000000	-5.208838	5.208838	3.490000
350.000000	3.590115	3.590115	3.500000
351.000000	5.518481	5.518481	3.510000
352.000000	5.302306	5.302306	3.520000
353.000000	24.002149	24.002149	3.530000
354.000000	-24.499428	24.499428	3.540000
355.000000	-9.821650	9.821650	3.550000
356.000000	14.346503	14.346503	3.560000
357.000000	15.093312	15.093312	3.570000
358.000000	14.714197	14.714197	3.580000
359.000000	21.952942	21.952942	3.590000
360.000000	16.277633	16.277633	3.600000
361.000000	14.237926	14.237926	3.610000
362.000000	42.387679	42.387679	3.620000
363.000000	4.335298	4.335298	3.630000
364.000000	8.829548	8.829548	3.640000
365.000000	-4.427396	4.427396	3.650000
366.000000	8.558064	8.558064	3.660000
367.000000	22.765145	22.765145	3.670000
368.000000	6.058234	6.058234	3.680000
369.000000	14.560738	14.560738	3.690000
370.000000	21.171847	21.171847	3.700000
371.000000	4.594100	4.594100	3.710000
372.000000	-5.929503	5.929503	3.720000
373.000000	1.712459	1.712459	3.730000
374.000000	12.509566	12.509566	3.740000
375.000000	0.920324	0.920324	3.750000
376.000000	15.631967	15.631967	3.760000
377.000000	-1.001722	1.001722	3.770000
378.000000	19.764527	19.764527	3.780000
379.000000	18.456724	18.456724	3.790000
380.000000	7.449117	7.449117	3.800000
381.000000	37.205210	37.205210	3.810000
382.000000	5.387320	5.387320	3.820000
383.000000	-1.788825	1.788825	3.830000
384.000000	2.769940	2.769940	3.840000
385.000000	6.744465	6.744465	3.850000
386.000000	8.488593	8.488593	3.860000
387.000000	19.911603	19.911603	3.870000
388.000000	3.705805	3.705805	3.880000
389.000000	12.914215	12.914215	3.890000
390.000000	13.143792	13.143792	3.900000
391.000000	10.811568	10.811568	3.910000
392.000000	24.266217	24.266217	3.920000
393.000000	7.976788	7.976788	3.930000
394.000000	2.414678	2.414678	3.940000
395.000000	11.441719	11.441719	3.950000
396.000000	-15.708149	15.708149	3.960000
397.000000	20.104270	20.104270	3.970000
398.000000	12.428628	12.428628	3.980000
399.000000	0.199595	0.199595	3.990000
400.000000	6.072815	6.072815	4.000000
401.000000	-1.100626	1.100626	4.010000
402.000000	-0.476904	0.476904	4.020000
403.000000	4.337652	4.337652	4.030000
404.000000	14.553129	14.553129	4.040000
405.000000	24.311708	24.311708	4.050000
406.000000	15.636765	15.636765	4.060000
407.000000	3.200675	3.200675	4.070000
408.000000	-3.551546	3.551546	4.080000
409.000000	11.244994	11.244994	4.090000
410.000000	-2.913819	2.913819	4.100000
411.000000	25.995690	25.995690	4.110000
412.000000	-2.628078	2.628078	4.120000
413.000000	5.116656	5.116656	4.130000
414.000000	9.416128	9.416128	4.140000
415.000000	15.017980	15.017980	4.150000
416.000000	23.295043	23.295043	4.160000
417.000000	-7.570797	7.570797	4.170000
418.000000	-0.340979	0.340979	4.180000
419.000000	-4.316699	4.316699	4.190000
420.000000	15.075011	15.075011	4.200000
421.000000	13.852388	13.852388	4.210000
422.000000	7.656081	7.656081	4.220000
423.000000	6.839334	6.839334	4.230000
424.000000	10.661304	10.661304	4.240000
425.000000	-4.932954	4.932954	4.250000
426.000000	13.433575	13.433575	4.260000
427.000000	6.056565	6.056565	4.270000
428.000000	12.475667	12.475667	4.280000
429.000000	21.852110	21.852110	4.290000
430.000000	4.190096	4.190096	4.300000
431.000000	13.907821	13.907821	4.310000
432.000000	13.520337	13.520337	4.320000
433.000000	4.837743	4.837743	4.330000
434.000000	11.679695	11.679695	4.340000
435.000000	7.323319	7.323319	4.350000
436.000000	26.457397	26.457397	4.360000
437.000000	2.405307	2.405307	4.370000
438.000000	6.502812	6.502812	4.380000
439.000000	11.197011	11.197011	4.390000
440.000000	6.914550	6.914550	4.400000
441.000000	26.268694	26.268694	4.410000
442.000000	-19.689304	19.689304	4.420000
443.000000	10.433693	10.433693	4.430000
444.000000	4.426031	4.426031	4.440000
445.000000	26.032206	26.032206	4.450000
446.000000	9.336648	9.336648	4.460000
447.000000	12.311922	12.311922	4.470000
448.000000	32.100633	32.100633	4.480000
449.000000	11.163831	11.163831	4.490000
450.000000	33.720170	33.720170	4.500000
451.000000	12.702968	12.702968	4.510000
452.000000	14.409967	14.409967	4.520000
453.000000	18.853944	18.853944	4.530000
454.000000	26.098088	26.098088	4.540000
455.000000	22.603669	22.603669	4.550000
456.000000	3.170813	3.170813	4.560000
457.000000	24.282510	24.282510	4.570000
458.000000	10.294414	10.294414	4.580000
459.000000	3.674841	3.674841	4.590000
460.000000	3.906126	3.906126	4.600000
461.000000	15.436239	15.436239	4.610000
462.000000	10.176798	10.176798	4.620000
463.000000	16.048824	16.048824	4.630000
464.000000	7.594844	7.594844	4.640000
465.000000	1.456649	1.456649	4.650000
466.000000	21.288662	21.288662	4.660000
467.000000	21.076094	21.076094	4.670000
468.000000	24.474247	24.474247	4.680000
469.000000	22.177676	22.177676	4.690000
470.000000	-1.373645	1.373645	4.700000
471.000000	-7.533130	7.533130	4.710000
472.000000	5.815731	5.815731	4.720000
473.000000	16.031455	16.031455	4.730000
474.000000	21.581102	21.581102	4.740000
475.000000	3.501202	3.501202	4.750000
476.000000	-10.206758	10.206758	4.760000
477.000000	5.791464	5.791464	4.770000
478.000000	-2.954626	2.954626	4.780000
479.000000	17.419630	17.419630	4.790000
480.000000	11.246935	11.246935	4.800000
481.000000	11.984944	11.984944	4.810000
482.000000	5.703592	5.703592	4.820000
483.000000	-0.401845	0.401845	4.830000
484.000000	-9.836237	9.836237	4.840000
485.000000	19.633539	19.633539	4.850000
486.000000	6.203460	6.203460	4.860000
487.000000	5.067954	5.067954	4.870000
488.000000	3.887711	3.887711	4.880000
489.000000	2.152102	2.152102	4.890000
490.000000	7.316845	7.316845	4.900000
491.000000	17.182438	17.182438	4.910000
492.000000	16.447628	16.447628	4.920000
493.000000	16.497323	16.497323	4.930000
494.000000	-3.007737	3.007737	4.940000
495.000000	16.552608	16.552608	4.950000
496.000000	18.345064	18.345064	4.960000
497.000000	7.139203	7.139203	4.970000
498.000000	2.377989	2.377989	4.980000
499.000000	5.554010	5.554010	4.990000
500.000000	3.181266	3.181266	5.000000
501.000000	13.481370	13.481370	5.010000
502.000000	12.327981	12.327981	5.020000
503.000000	16.735299	16.735299	5.030000
504.000000	8.725876	8.725876	5.040000
505.000000	5.853948	5.853948	5.050000
506.000000	-4.963761	4.963761	5.060000
507.000000	2.675419	2.675419	5.070000
508.000000	-0.192608	0.192608	5.080000
509.000000	3.170631	3.170631	5.090000
510.000000	5.573147	5.573147	5.100000
511.000000	18.863632	18.863632	5.110000
512.000000	11.559799	11.559799	5.120000
513.000000	18.502301	18.502301	5.130000
514.000000	5.941384	5.941384	5.140000
515.000000	19.298415	19.298415	5.150000
516.000000	9.329444	9.329444	5.160000
517.000000	17.057014	17.057014	5.170000
518.000000	13.309624	13.309624	5.180000
519.000000	2.686060	2.686060	5.190000
520.000000	5.476152	5.476152	5.200000
521.000000	6.482889	6.482889	5.210000
522.000000	21.107165	21.107165	5.220000
523.000000	19.391526	19.391526	5.230000
524.000000	6.029232	6.029232	5.240000
525.000000	0.323547	0.323547	5.250000
526.000000	7.693597	7.693597	5.260000
527.000000	26.627365	26.627365	5.270000
528.000000	5.014233	5.014233	5.280000
529.000000	14.654624	14.654624	5.290000
530.000000	10.156909	10.156909	5.300000
531.000000	15.845416	15.845416	5.310000
532.000000	3.143953	3.143953	5.320000
533.000000	20.266381	20.266381	5.330000
534.000000	16.368551	16.368551	5.340000
535.000000	11.240361	11.240361	5.350000
536.000000	-8.700225	8.700225	5.360000
537.000000	18.713587	18.713587	5.370000
538.000000	13.597182	13.597182	5.380000
539.000000	31.180116	31.180116	5.390000
540.000000	0.053647	0.053647	5.400000
541.000000	24.236944	24.236944	5.410000
542.000000	16.018931	16.018931	5.420000
543.000000	22.921852	22.921852	5.430000
544.000000	8.660814	8.660814	5.440000
545.000000	-0.334224	0.334224	5.450000
546.000000	9.777624	9.777624	5.460000
547.000000	14.734942	14.734942	5.470000
548.000000	20.312915	20.312915	5.480000
549.000000	9.985410	9.985410	5.490000
550.000000	16.015406	16.015406	5.500000
551.000000	12.481149	12.481149	5.510000
552.000000	5.797952	5.797952	5.520000
553.000000	-1.822213	1.822213	5.530000
554.000000	5.748928	5.748928	5.540000
555.000000	17.468428	17.468428	5.550000
556.000000	8.399597	8.399597	5.560000
557.000000	1.170996	1.170996	5.570000
558.000000	10.443399	10.443399	5.580000
559.000000	-2.265107	2.265107	5.590000
560.000000	9.987179	9.987179	5.600000
561.000000	13.785699	13.785699	5.610000
562.000000	18.437016	18.437016	5.620000
563.000000	-8.973022	8.973022	5.630000
564.000000	2.315474	2.315474	5.640000
565.000000	12.548991	12.548991	5.650000
566.000000	20.672418	20.672418	5.660000
567.000000	6.421567	6.421567	5.670000
568.000000	33.466941	33.466941	5.680000
569.000000	11.359768	11.359768	5.690000
570.000000	12.528181	12.528181	5.700000
571.000000	8.650714	8.650714	5.710000
572.000000	10.141651	10.141651	5.720000
573.000000	8.414698	8.414698	5.730000
574.000000	4.866036	4.866036	5.740000
575.000000	10.142853	10.142853	5.750000
576.000000	9.837786	9.837786	5.760000
577.000000	7.620661	7.620661	5.770000
578.000000	7.685173	7.685173	5.780000
579.000000	-8.702640	8.702640	5.790000
580.000000	-4.639594	4.639594	5.800000
581.000000	3.822194	3.822194	5.810000
582.000000	14.652010	14.652010	5.820000
583.000000	9.859057	9.859057	5.830000
584.000000	5.751615	5.751615	5.840000
585.000000	15.369641	15.369641	5.850000
586.000000	21.550078	21.550078	5.860000
587.000000	2.199175	2.199175	5.870000
588.000000	21.390078	21.390078	5.880000
589.000000	-10.853371	10.853371	5.890000
590.000000	13.054464	13.054464	5.900000
591.000000	20.189484	20.189484	5.910000
592.000000	10.860479	10.860479	5.920000
593.000000	0.715334	0.715334	5.930000
594.000000	0.773622	0.773622	5.940000
595.000000	12.638386	12.638386	5.950000
596.000000	1.431375	1.431375	5.960000
597.000000	26.218561	26.218561	5.970000
598.000000	3.730910	3.730910	5.980000
599.000000	-5.479361	5.479361	5.990000
600.000000	-11.188233	11.188233	6.000000
601.000000	14.413160	14.413160	6.010000
602.000000	18.116584	18.116584	6.020000
603.000000	-3.900467	3.900467	6.030000
604.000000	3.759379	3.759379	6.040000
605.000000	6.963905	6.963905	6.050000
606.000000	6.415267	6.415267	6.060000
607.000000	1.501405	1.501405	6.070000
608.000000	15.777014	15.777014	6.080000
609.000000	5.960627	5.960627	6.090000
610.000000	2.311876	2.311876	6.100000
611.000000	11.279502	11.279502	6.110000
612.000000	10.265754	10.265754	6.120000
613.000000	6.091911	6.091911	6.130000
614.000000	6.749695	6.749695	6.140000
615.000000	8.236421	8.236421	6.150000
616.000000	8.666075	8.666075	6.160000
617.000000	-8.550541	8.550541	6.170000
618.000000	8.163751	8.163751	6.180000
619.000000	19.933714	19.933714	6.190000
620.000000	4.959506	4.959506	6.200000
621.000000	1.110582	1.110582	6.210000
622.000000	10.399556	10.399556	6.220000
623.000000	-1.165151	1.165151	6.230000
624.000000	12.495789	12.495789	6.240000
625.000000	13.694173	13.694173	6.250000
626.000000	29.209318	29.209318	6.260000
627.000000	6.591078	6.591078	6.270000
628.000000	4.334968	4.334968	6.280000
629.000000	21.069232	21.069232	6.290000
630.000000	15.050291	15.050291	6.300000
631.000000	5.056779	5.056779	6.310000
632.000000	4.419600	4.419600	6.320000
633.000000	-13.692438	13.692438	6.330000
634.000000	-15.368458	15.368458	6.340000
635.000000	16.931191	16.931191	6.350000
636.000000	2.801305	2.801305	6.360000
637.000000	11.055911	11.055911	6.370000
638.000000	25.465518	25.465518	6.380000
639.000000	21.784973	21.784973	6.390000
640.000000	15.865336	15.865336	6.400000
641.000000	8.917433	8.917433	6.410000
642.000000	-9.510632	9.510632	6.420000
643.000000	-8.124915	8.124915	6.430000
644.000000	2.687491	2.687491	6.440000
645.000000	2.673767	2.673767	6.450000
646.000000	13.289795	13.289795	6.460000
647.000000	4.604659	4.604659	6.470000
648.000000	26.064211	26.064211	6.480000
649.000000	2.231013	2.231013	6.490000
650.000000	7.392462	7.392462	6.500000
651.000000	5.228175	5.228175	6.510000
652.000000	1.784912	1.784912	6.520000
653.000000	-3.578897	3.578897	6.530000
654.000000	1.269263	1.269263	6.540000
655.000000	22.160611	22.160611	6.550000
656.000000	8.303063	8.303063	6.560000
657.000000	9.095326	9.095326	6.570000
658.000000	-3.689919	3.689919	6.580000
659.000000	8.735122	8.735122	6.590000
660.000000	0.720218	0.720218	6.600000
661.000000	-2.769392	2.769392	6.610000
662.000000	-2.828809	2.828809	6.620000
663.000000	13.323870	13.323870	6.630000
664.000000	35.379741	35.379741	6.640000
665.000000	26.461112	26.461112	6.650000
666.000000	1.172245	1.172245	6.660000
667.000000	12.225469	12.225469	6.670000
668.000000	12.326486	12.326486	6.680000
669.000000	4.518224	4.518224	6.690000
670.000000	24.563549	24.563549	6.700000
671.000000	-5.245977	5.245977	6.710000
672.000000	29.020819	29.020819	6.720000
673.000000	16.848590	16.848590	6.730000
674.000000	-2.933120	2.933120	6.740000
675.000000	17.835839	17.835839	6.750000
676.000000	10.275650	10.275650	6.760000
677.000000	-5.854069	5.854069	6.770000
678.000000	2.472310	2.472310	6.780000
679.000000	0.153424	0.153424	6.790000
680.000000	24.327832	24.327832	6.800000
681.000000	7.302601	7.302601	6.810000
682.000000	16.280010	16.280010	6.820000
683.000000	12.022264	12.022264	6.830000
684.000000	6.308824	6.308824	6.840000
685.000000	16.472789	16.472789	6.850000
686.000000	5.512086	5.512086	6.860000
687.000000	15.017780	15.017780	6.870000
688.000000	13.247963	13.247963	6.880000
689.000000	-7.206272	7.206272	6.890000
690.000000	22.924204	22.924204	6.900000
691.000000	0.782770	0.782770	6.910000
